date,category,code,name,grade,price_krw_per_kg,source,note
2026-05-11,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-11,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-11,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-11,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-11,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-11,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-11,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-11,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-11,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-11,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-11,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-11,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-11,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-11,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-12,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-12,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-12,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-12,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-12,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-12,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-12,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-12,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-12,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-12,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-12,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-12,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-12,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-12,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-12,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-12,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-12,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-12,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-12,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-12,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-12,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-13,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-13,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-13,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-13,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-13,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-13,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-13,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-13,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-13,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-13,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-13,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-13,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-13,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-13,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-13,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-13,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-13,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-13,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-13,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-13,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-13,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-14,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-14,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-14,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-14,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-14,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-14,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-14,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-14,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-14,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-14,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-14,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-14,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-14,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-14,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-14,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-14,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-14,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-14,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-14,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-14,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-14,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-15,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-15,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-15,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-15,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-15,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-15,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-15,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-15,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-15,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-15,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-15,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-15,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-15,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-15,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-15,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-15,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-15,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-15,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-15,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-15,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-15,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-16,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-16,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-16,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-16,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-16,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-16,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-16,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-16,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-16,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-16,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-16,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-16,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-16,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-16,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-16,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-16,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-16,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-16,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-16,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-16,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-16,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-17,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-17,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-17,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-17,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-17,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-17,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-17,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-17,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-17,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-17,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-17,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-17,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-17,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-17,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-17,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-17,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-17,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-17,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-17,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-17,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-17,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-18,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-18,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-18,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-18,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-18,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-18,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-18,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-18,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-18,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-18,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-18,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-18,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-18,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-18,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-18,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-18,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-18,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-18,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-18,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-18,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-18,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-19,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-19,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-19,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-19,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-19,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-19,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-19,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-19,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-19,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-19,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-19,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-19,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-19,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-19,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-19,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-19,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-19,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-19,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-19,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-19,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-19,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-20,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-20,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-20,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-20,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-20,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-20,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-20,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-20,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-20,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-20,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-20,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-20,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-20,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-20,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-20,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-20,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-20,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-20,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-20,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-20,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-20,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-21,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-21,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-21,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-21,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-21,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-21,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-21,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-21,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-21,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-21,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-21,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-21,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-21,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-21,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-21,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-21,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-21,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-21,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-21,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-21,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-21,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-22,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-22,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-22,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-22,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-22,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-22,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-22,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-22,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-22,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-22,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-22,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-22,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
2026-05-22,virgin,POM,POM (폴리아세탈),Injection,,manual,awaiting input
2026-05-22,virgin,PMMA,PMMA (아크릴),General,,manual,awaiting input
2026-05-22,recycled,rHDPE,rHDPE (재생 HDPE),Pellet/Flake,,manual,awaiting input
2026-05-22,recycled,rLDPE,rLDPE (재생 LDPE),Pellet/Flake,,manual,awaiting input
2026-05-22,recycled,rPP,rPP (재생 PP),Pellet,,manual,awaiting input
2026-05-22,recycled,rPVC,rPVC (재생 PVC),Pellet,,manual,awaiting input
2026-05-22,recycled,rPS,rPS (재생 PS),Pellet,,manual,awaiting input
2026-05-22,recycled,rABS,rABS (재생 ABS),Pellet,,manual,awaiting input
2026-05-22,recycled,rPET,rPET (재생 PET),Flake/Pellet,,manual,awaiting input
2026-05-23,virgin,HDPE,HDPE (고밀도 폴리에틸렌),Film/Blow,,manual,awaiting input
2026-05-23,virgin,LDPE,LDPE (저밀도 폴리에틸렌),Film,,manual,awaiting input
2026-05-23,virgin,LLDPE,LLDPE (선형 저밀도 PE),Film,,manual,awaiting input
2026-05-23,virgin,PP,PP (폴리프로필렌),Injection,,manual,awaiting input
2026-05-23,virgin,PVC,PVC (폴리염화비닐),General,,manual,awaiting input
2026-05-23,virgin,GPPS,GPPS (범용 폴리스티렌),General,,manual,awaiting input
2026-05-23,virgin,HIPS,HIPS (고충격 폴리스티렌),General,,manual,awaiting input
2026-05-23,virgin,ABS,ABS,Injection,,manual,awaiting input
2026-05-23,virgin,PET,PET (폴리에스테르),Bottle,,manual,awaiting input
2026-05-23,virgin,PC,PC (폴리카보네이트),Injection,,manual,awaiting input
2026-05-23,virgin,PA6,PA6 (나일론 6),Injection,,manual,awaiting input
2026-05-23,virgin,PA66,PA66 (나일론 66),Injection,,manual,awaiting input
